Prscrbr_Geo_Desc,Brnd_Name,Opioid_Drug_Flag,Total_Claims,Total_Cost,Cost_Per_Claim,Claims_Per_Prescriber,Cost_Per_Patient,Cluster,Is_Suspicious
District of Columbia,Camzyos,N,193,1607487.05,8328.948445595855,96.5,89304.83611111112,0,1
District of Columbia,Erleada,N,340,5241500.59,15416.178205882352,26.153846153846153,102774.52137254902,3,1
District of Columbia,Fentanyl,Y,616,68288.12,110.85733766233766,4.967741935483871,443.4293506493506,1,1
District of Columbia,Hydrocodone-Acetaminophen,Y,6047,95744.5,15.833388457086158,9.106927710843374,29.487064983061288,1,1
District of Columbia,Imbruvica,N,346,5756305.67,16636.721589595374,16.476190476190474,127917.90377777777,3,1
District of Columbia,Kesimpta Pen,N,332,3111154.3,9370.946686746987,30.181818181818183,67633.78913043477,3,1
District of Columbia,Nubeqa,N,365,4727697.34,12952.595452054795,26.071428571428573,82942.05859649123,3,1
District of Columbia,Nuplazid,N,1022,7169169.19,7014.842651663405,39.30769230769231,42171.58347058824,2,1
District of Columbia,Ocrevus,N,23,907840.2,39471.31304347826,2.5555555555555554,64845.72857142857,3,1
District of Columbia,Opsumit,N,702,9017984.45,12846.131695156693,54.0,100199.82722222221,3,1
District of Columbia,Orgovyx,N,1543,4398645.15,2850.709753726507,45.38235294117647,16412.855037313435,2,1
District of Columbia,Oxycodone Hcl,Y,21047,226378.93,10.75587637192949,10.90518134715026,19.92246149784388,1,1
District of Columbia,Oxycodone-Acetaminophen,Y,12360,224572.96,18.169333333333334,10.404040404040405,48.68262735746802,1,1
District of Columbia,Oxycontin,Y,1215,684835.14,563.6503209876544,8.379310344827585,2818.2516049382716,1,1
District of Columbia,Oxymorphone Hcl Er,Y,86,31505.67,366.34499999999997,17.2,1432.075909090909,1,1
District of Columbia,Percocet,Y,59,197908.1,3354.3745762711865,4.538461538461538,13193.873333333333,1,1
District of Columbia,Pomalyst,N,412,9098821.67,22084.518616504854,18.727272727272727,126372.52319444444,3,1
District of Columbia,Revlimid,N,842,14265450.29,16942.340011876484,26.3125,81053.69482954545,3,1
District of Columbia,Spravato,N,124,164411.54,1325.8995161290322,62.0,14946.503636363637,0,1
District of Columbia,Stelara,N,269,7122203.79,26476.59401486989,9.275862068965518,129494.61436363637,3,1
District of Columbia,Tramadol Hcl,Y,13263,79680.17,6.007703385357762,9.04706684856753,12.00725889089813,1,1
District of Columbia,Tyvaso Dpi,N,116,2875400.52,24787.935517241378,19.333333333333332,179712.5325,3,1
District of Columbia,Uptravi,N,479,10362293.85,21633.181315240083,53.22222222222222,199274.88173076924,3,1
District of Columbia,Vyndamax,N,777,20497040.24,26379.717168597166,37.0,193368.30415094338,3,1
District of Columbia,Welireg,N,46,1273214.69,27678.580217391303,7.666666666666667,115746.79,3,1
District of Columbia,Xtampza Er,Y,502,250319.42,498.6442629482072,10.458333333333334,2018.7050000000002,1,1
District of Columbia,Xtandi,N,1064,14160693.14,13308.922124060151,29.555555555555557,93162.45486842106,3,1
Florida,Acetaminophen-Codeine,Y,129243,1744124.6,13.49492506363981,8.632890254492018,26.57632681670654,1,1
Florida,Acthar,N,548,42860294.22,78212.215729927,6.85,446461.398125,3,1
Florida,Acthar Selfject,N,49,3331404.58,67987.84857142858,2.7222222222222223,185078.03222222222,3,1
Florida,Adempas,N,4141,56880054.54,13735.825776382517,26.88961038961039,120253.81509513741,3,1
Florida,Albuterol Sulfate Hfa,N,1375120,39677568.56,28.853895340043053,36.98050289095065,78.39619486441843,0,1
Florida,Alendronate Sodium,N,640557,4719739.54,7.368180411735412,30.61058013953933,24.557291576696343,0,1
Florida,Allopurinol,N,654036,5964528.67,9.119572424147906,25.363995966803692,33.335356546038845,0,1
Florida,Alprazolam,N,1435711,7253352.37,5.052097789875539,48.45627594586385,24.655165232229294,0,1
Florida,Alunbrig,N,183,3401773.77,18588.927704918035,6.535714285714286,136070.9508,3,1
Florida,Amlodipine Besylate,N,3645121,21172028.6,5.808319833552851,84.95003379244447,21.221283198303265,0,1
Florida,Amoxicillin,N,784795,2388895.14,3.043973445294631,16.675413807024626,4.293809273884801,0,1
Florida,Amoxicillin-Clavulanate Potass,N,662694,6286144.73,9.485742635364135,12.229985605137859,12.151554052486702,0,1
Florida,Amvuttra,N,135,15848479.52,117396.1445925926,3.857142857142857,304778.4523076923,3,1
Florida,Apokyn,N,330,9180423.77,27819.46596969697,6.111111111111111,122405.65026666666,3,1
Florida,Arcalyst,N,109,2479617.4,22748.78348623853,6.8125,145859.84705882354,3,1
Florida,Asa-Butalb-Caffeine-Codeine,Y,770,76780.17,99.71450649350649,4.583333333333333,522.314081632653,1,1
Florida,Atorvastatin Calcium,N,5060565,46516155.93,9.191889824555163,122.33338168105011,33.80006461926371,0,1
